<<<<<<< HEAD
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,N/A,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-DATE-001-16,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(1711123200, ""%H:%M:%S"")",期望输出时间部分，验证格式正确,期望输出时间部分，验证格式正确,N/A,FAIL,是
TC-UNIT-DATE-001-17,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,"from_unixtime(0, ""%Y-%m-%d"")","期望输出 ""1970-01-01""","期望输出 ""1970-01-01""",N/A,FAIL,是
TC-UNIT-DATE-001-18,TC-UNIT-DATE-001,单元测试,P0,year / month / day / weekday / curdate / unix_timestamp / from_unixtime,同一时区下 year/month/day/curdate 与 from_unixtime 日期分量一致性,各函数日期分量完全一致,各函数日期分量完全一致,N/A,FAIL,是
TC-UNIT-DATE-002-01,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240322"", 7)","期望输出 ""20240329""","期望输出 ""20240329""",N/A,FAIL,是
TC-UNIT-DATE-002-02,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240322"", 0) 加0天","期望输出 ""20240322""（不变）","期望输出 ""20240322""（不变）",N/A,FAIL,是
TC-UNIT-DATE-002-03,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240228"", 1) 闰年2月","期望输出 ""20240229""（2024闰年）","期望输出 ""20240229""（2024闰年）",N/A,FAIL,是
TC-UNIT-DATE-002-04,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240229"", 1) 闰年跨月","期望输出 ""20240301""","期望输出 ""20240301""",N/A,FAIL,是
TC-UNIT-DATE-002-05,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240131"", 1) 普通跨月","期望输出 ""20240201""","期望输出 ""20240201""",N/A,FAIL,是
TC-UNIT-DATE-002-06,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20241231"", 1) 跨年","期望输出 ""20250101""","期望输出 ""20250101""",N/A,FAIL,是
TC-UNIT-DATE-002-07,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_add(""20240101"", -1) 负数天","期望输出 ""20231231""（等价date_sub）","期望输出 ""20231231""（等价date_sub）",N/A,FAIL,是
TC-UNIT-DATE-002-08,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240101"", 1) 跨年","期望输出 ""20231231""","期望输出 ""20231231""",N/A,FAIL,是
TC-UNIT-DATE-002-09,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240301"", 1) 跨月至闰年2月","期望输出 ""20240229""","期望输出 ""20240229""",N/A,FAIL,是
TC-UNIT-DATE-002-10,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240322"", 7)","期望输出 ""20240315""","期望输出 ""20240315""",N/A,FAIL,是
TC-UNIT-DATE-002-11,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"date_sub(""20240322"", 0) 减0天","期望输出 ""20240322""（不变）","期望输出 ""20240322""（不变）",N/A,FAIL,是
TC-UNIT-DATE-002-12,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240322"", ""20240101"")",期望输出 81,期望输出 81,N/A,FAIL,是
TC-UNIT-DATE-002-13,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240101"", ""20240322"") 负差",期望输出 -81,期望输出 -81,N/A,FAIL,是
TC-UNIT-DATE-002-14,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240322"", ""20240322"") 同一天",期望输出 0,期望输出 0,N/A,FAIL,是
TC-UNIT-DATE-002-15,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20250101"", ""20240101"") 2024闰年",期望输出 366,期望输出 366,N/A,FAIL,是
TC-UNIT-DATE-002-16,TC-UNIT-DATE-002,单元测试,P0,date_add / date_sub / datediff,"datediff(""20240229"", ""20240228"") 闰年2月",期望输出 1,期望输出 1,N/A,FAIL,是
TC-UNIT-DIST-001-01,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""kitten"", ""kitten"", 10) 相同字符串",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-DIST-001-02,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""kitten"", ""sitting"", 10)","期望输出 ∈ (0,1)，记录实际值","期望输出 ∈ (0,1)，记录实际值",N/A,FAIL,是
TC-UNIT-DIST-001-03,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""abc"", ""xyz"", 3) 完全不同",期望输出较大值,期望输出较大值,N/A,FAIL,是
TC-UNIT-DIST-001-04,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance("""", """", 5) 空字符串",期望输出 0.0f，不崩溃,期望输出 0.0f，不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-05,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""abc"", """", 5) 一方为空",期望输出正数，不崩溃,期望输出正数，不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-06,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"edit_distance(""a"", ""b"", 0) length=0",不崩溃，返回 padding 或 0.0f,不崩溃，返回 padding 或 0.0f,N/A,FAIL,是
TC-UNIT-DIST-001-07,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""abc"", ""abc"", 3) 相同",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-DIST-001-08,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""hello"", ""world"", 2)","期望输出 ∈ (0,1]，记录实际值","期望输出 ∈ (0,1]，记录实际值",N/A,FAIL,是
TC-UNIT-DIST-001-09,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance("""", """", 2) 空字符串",不崩溃,不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-10,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"cosine_distance(""abc"", ""abc"", 0) n_gram=0",不崩溃,不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-11,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""abc"", 3) 相同",期望输出 0.0f,期望输出 0.0f,N/A,NOT_RUN,是
TC-UNIT-DIST-001-12,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""def"", 1) 完全不同",期望输出 1.0f,期望输出 1.0f,N/A,FAIL,是
TC-UNIT-DIST-001-13,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance(""abc"", ""abd"", 1)","期望输出 ∈ (0,1)，记录实际值","期望输出 ∈ (0,1)，记录实际值",N/A,FAIL,是
TC-UNIT-DIST-001-14,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaccard_distance("""", """", 2) 空字符串",不崩溃,不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-15,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""MARTHA"", ""MARTHA"", 6) 相同",期望输出 0.0f,期望输出 0.0f,N/A,FAIL,是
TC-UNIT-DIST-001-16,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""MARTHA"", ""MARHTA"", 6) 高相似",期望输出较小正数,期望输出较小正数,N/A,FAIL,是
TC-UNIT-DIST-001-17,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance(""abc"", ""xyz"", 3) 差异大",期望输出较大值,期望输出较大值,N/A,FAIL,是
TC-UNIT-DIST-001-18,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"jaro_winkler_distance("""", """", 3) 空字符串",不崩溃,不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-19,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""hello"", 5) 完全匹配",期望输出 0.0f（距离=0）,期望输出 0.0f（距离=0）,N/A,FAIL,是
TC-UNIT-DIST-001-20,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""helo"", 5) 一字之差",期望输出较小正数,期望输出较小正数,N/A,FAIL,是
TC-UNIT-DIST-001-21,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy(""hello"", ""xyz"", 5) 差异大",期望输出较大值,期望输出较大值,N/A,FAIL,是
TC-UNIT-DIST-001-22,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,"fuzzy("""", """", 3) 空字符串",不崩溃,不崩溃,N/A,FAIL,是
TC-UNIT-DIST-001-23,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,所有5个距离函数返回值范围验证,"所有函数返回值 ∈ [0.0f, 1.0f]","所有函数返回值 ∈ [0.0f, 1.0f]",N/A,FAIL,是
TC-UNIT-DIST-001-24,TC-UNIT-DIST-001,单元测试,P0,edit_distance / cosine_distance / jaccard_distance / jaro_winkler_distance / fuzzy,所有5个距离函数相同字符串验证,相同字符串输入距离 = 0.0f,相同字符串输入距离 = 0.0f,N/A,FAIL,是
=======,,,,,,,N/A,NOT_RUN
﻿子用例编号,用例编号,测试类型,测试优先级,测试对象,验证描述（输入→操作）,期望结果,实际结果,测试结果,是否在fealibTest覆盖
TC-UNIT-ARITH-001-01,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(3.5f, 2.0f)",期望输出 5.5f，误差 ≤ 1e-6,5.5,PASS,是
TC-UNIT-ARITH-001-02,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(10, 3) int32",期望输出 13,308070,FAIL,是
TC-UNIT-ARITH-001-03,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"add(1000000000LL, 2000000000LL) int64",期望输出 3000000000LL,3000000000,PASS,是
TC-UNIT-ARITH-001-04,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(10.0f, 3.5f)",期望输出 6.5f，误差 ≤ 1e-6,6.5,PASS,是
TC-UNIT-ARITH-001-05,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(10, 3) int32",期望输出 7,511333,FAIL,是
TC-UNIT-ARITH-001-06,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"sub(5000000000LL, 1LL) int64",期望输出 4999999999LL,4999999999,PASS,是
TC-UNIT-ARITH-001-07,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(2.0f, 4.0f)",期望输出 8.0f，误差 ≤ 1e-6,8.0,PASS,是
TC-UNIT-ARITH-001-08,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(3, 4) int32",期望输出 12,152699,FAIL,是
TC-UNIT-ARITH-001-09,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"mul(1000000LL, 1000000LL) int64",期望输出 1000000000000LL,1000000000000,PASS,是
TC-UNIT-ARITH-001-10,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9.0f, 3.0f)",期望输出 3.0f，误差 ≤ 1e-6,3.0,PASS,是
TC-UNIT-ARITH-001-11,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9, 3) int32",期望输出 3,349413,FAIL,是
TC-UNIT-ARITH-001-12,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(9LL, 3LL) int64",期望输出 3LL,3,PASS,是
TC-UNIT-ARITH-001-13,TC-UNIT-ARITH-001,单元测试,P0,add / sub / mul / div,"div(1.0f, 0.0f) 除零",不崩溃，返回 padding（0 或 inf）,0.0,PASS,是
TC-UNIT-ARITH-002-01,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(7, 3) int32",期望输出 1,858746,FAIL,是
TC-UNIT-ARITH-002-02,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-7, 3) int32",期望输出 ≥ 0（规范要求结果非负，如 2）,N/A,FAIL,是
TC-UNIT-ARITH-002-03,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(0, 5) int32",期望输出 0,717449,FAIL,是
TC-UNIT-ARITH-002-04,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(6, 3) int32",期望输出 0（整除）,717449,FAIL,是
TC-UNIT-ARITH-002-05,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-1, 7) int32",期望输出 ≥ 0,N/A,FAIL,是
TC-UNIT-ARITH-002-06,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(1000000007LL, 1000000006LL) int64",期望输出 1LL,1,PASS,是
TC-UNIT-ARITH-002-07,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(-100LL, 7LL) int64",期望输出 ≥ 0,N/A,FAIL,是
TC-UNIT-ARITH-002-08,TC-UNIT-ARITH-002,单元测试,P0,mod,"mod(0LL, 100LL) int64",期望输出 0LL,0,PASS,是
TC-UNIT-ARITH-002-09,TC-UNIT-ARITH-002,单元测试,P0,mod,int32 与 int64 对相同数值 mod 结果比较,两者对相同数值结果一致,N/A,FAIL,是
TC-UNIT-ARITH-003-01,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-3.14f),期望输出 3.14f，误差 ≤ 1e-6,3.140000104904175,PASS,是
TC-UNIT-ARITH-003-02,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-10) int32,期望输出 10,400605,FAIL,是
TC-UNIT-ARITH-003-03,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(-9999999LL) int64,期望输出 9999999LL,9999999,PASS,是
TC-UNIT-ARITH-003-04,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,abs(0.0f),期望输出 0.0f,0.0,PASS,是
TC-UNIT-ARITH-003-05,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,ceil(1.2f) → int32,期望输出 2,366938,FAIL,是
TC-UNIT-ARITH-003-06,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,ceil(-1.2f) → int32,期望输出 -1,35124,FAIL,是
TC-UNIT-ARITH-003-07,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,floor(1.9f) → int32,期望输出 1,537423,FAIL,是
TC-UNIT-ARITH-003-08,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,floor(-1.9f) → int32,期望输出 -2,847701,FAIL,是
TC-UNIT-ARITH-003-09,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(1.5f) → int32,期望输出 2,247157,FAIL,是
TC-UNIT-ARITH-003-10,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(1.4f) → int32,期望输出 1,855516,FAIL,是
TC-UNIT-ARITH-003-11,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,round(-1.5f) → int32,记录实际值（取决于实现，-2 或 -1）,N/A,FAIL,是
TC-UNIT-ARITH-003-12,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,exp(0.0f),期望输出 1.0f,1.0,PASS,是
TC-UNIT-ARITH-003-13,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,exp(1.0f),期望输出 ≈ 2.71828f，误差 ≤ 1e-4,2.7182817459106445,PASS,是
TC-UNIT-ARITH-003-14,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(1.0f),期望输出 0.0f,0.0,PASS,是
TC-UNIT-ARITH-003-15,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(2.718281f),期望输出 ≈ 1.0f，误差 ≤ 1e-5,0.9999997019767761,PASS,是
TC-UNIT-ARITH-003-16,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log10(100.0f),期望输出 2.0f,2.0,PASS,是
TC-UNIT-ARITH-003-17,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log2(8.0f),期望输出 3.0f,3.0,PASS,是
TC-UNIT-ARITH-003-18,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(4.0f),期望输出 2.0f,2.0,PASS,是
TC-UNIT-ARITH-003-19,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(2.0f),期望输出 ≈ 1.41421f，误差 ≤ 1e-5,1.4142135381698608,PASS,是
TC-UNIT-ARITH-003-20,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(0.0f),期望输出 0.5f,0.5,PASS,是
TC-UNIT-ARITH-003-21,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(100.0f),期望输出 ≈ 1.0f（接近上界）,1.0,PASS,是
TC-UNIT-ARITH-003-22,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sigmoid(-100.0f),期望输出 ≈ 0.0f（接近下界）,0.0,PASS,是
TC-UNIT-ARITH-003-23,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,"pow(2.0f, 10.0f)",期望输出 1024.0f,1024.0,PASS,是
TC-UNIT-ARITH-003-24,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,"pow(3.0f, 3.0f)",期望输出 27.0f,27.0,PASS,是
TC-UNIT-ARITH-003-25,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(0.0f) 边界,不崩溃，返回 -inf 或 padding,-inf,PASS,是
TC-UNIT-ARITH-003-26,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,log(-1.0f) 边界,不崩溃，返回 NaN 或 padding,nan,PASS,是
TC-UNIT-ARITH-003-27,TC-UNIT-ARITH-003,单元测试,P0,abs / ceil / floor / round / exp / log / log10 / log2 / sqrt / sigmoid / pow,sqrt(-1.0f) 边界,不崩溃，返回 NaN 或 padding,nan,PASS,是
TC-UNIT-ARITH-004-01,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.75f, 100.0f) → ceil(75.0)",期望输出 75,881094,FAIL,是
TC-UNIT-ARITH-004-02,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.0f, 100.0f)",期望输出 0,685623,FAIL,是
TC-UNIT-ARITH-004-03,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(1.0f, 100.0f)",期望输出 100,153243,FAIL,是
TC-UNIT-ARITH-004-04,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.001f, 1000.0f)",期望输出 1（ceil(1.0)=1）,772730,FAIL,是
TC-UNIT-ARITH-004-05,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"scale(0.0f, 0.0f) 边界",不崩溃，返回 0,N/A,FAIL,是
TC-UNIT-ARITH-004-06,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 80, 95)","期望输出 ∈ (0.0, 1.0)",[],FAIL,是
TC-UNIT-ARITH-004-07,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(1000, 500, 95)","期望输出 ∈ (0.0, 1.0)",[],FAIL,是
TC-UNIT-ARITH-004-08,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(0, 0, 95) total=0 边界",不崩溃，返回 padding,N/A,FAIL,是
TC-UNIT-ARITH-004-09,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 0, 95)",期望输出 ≥ 0.0,[],FAIL,是
TC-UNIT-ARITH-004-10,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"wilson_score(100, 100, 95)","期望输出 ∈ (0.0, 1.0)",[],FAIL,是
TC-UNIT-ARITH-004-11,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(1000.0f, 50.0f, 100.0f)",期望输出 ≈ 0.0464f，误差 ≤ 1e-4,0.0,FAIL,是
TC-UNIT-ARITH-004-12,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(0.0f, 0.0f, 100.0f)",不崩溃，结果 ≈ prior,0.0,PASS,是
TC-UNIT-ARITH-004-13,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(0.0f, 0.0f, 0.0f) 分母为0",不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-ARITH-004-14,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"smooth(100.0f, 100.0f, 100.0f)","期望输出 ∈ (0.0, 1.0]",0.0,FAIL,是
TC-UNIT-ARITH-004-15,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(85.0f, 70.0f, 15.0f)",期望输出 1.0f，误差 ≤ 1e-5,0.0,FAIL,是
TC-UNIT-ARITH-004-16,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(70.0f, 70.0f, 15.0f)",期望输出 0.0f,0.0,PASS,是
TC-UNIT-ARITH-004-17,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(55.0f, 70.0f, 15.0f)",期望输出 -1.0f,0.0,FAIL,是
TC-UNIT-ARITH-004-18,TC-UNIT-ARITH-004,单元测试,P0,scale / wilson_score / smooth / z_score,"z_score(85.0f, 70.0f, 0.0f) std=0 边界",不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-001-01,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"avg([1.0f,2.0f,3.0f,4.0f,5.0f])",期望输出 3.0f,0.0,FAIL,是
TC-UNIT-STAT-001-02,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,avg([100.0f]) 单元素,期望输出 100.0f,0.0,FAIL,是
TC-UNIT-STAT-001-03,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,avg([]) 空数组,不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-001-04,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"var([1.0f,2.0f,3.0f]) 总体方差",期望输出 ≈ 0.667f，误差 ± 1e-3,0.0,FAIL,是
TC-UNIT-STAT-001-05,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"var([5.0f,5.0f,5.0f]) 所有值相同",期望输出 0.0f,0.0,PASS,是
TC-UNIT-STAT-001-06,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,var([]) 空数组,不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-001-07,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"std([1.0f,2.0f,3.0f])",期望输出 ≈ 0.816f，误差 ± 1e-3,0.0,FAIL,是
TC-UNIT-STAT-001-08,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"std([5.0f,5.0f,5.0f])",期望输出 0.0f,0.0,PASS,是
TC-UNIT-STAT-001-09,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,std([]) 空数组,不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-001-10,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"min([3.0f,1.0f,4.0f,1.5f])",期望输出 1.0f,0.0,FAIL,是
TC-UNIT-STAT-001-11,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,min([5]) 单元素,期望输出 5,0.0,FAIL,是
TC-UNIT-STAT-001-12,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,min([]) 空数组,不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-001-13,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,"max([3.0f,1.0f,4.0f,1.5f])",期望输出 4.0f,0.0,FAIL,是
TC-UNIT-STAT-001-14,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,max([5]) 单元素,期望输出 5,0.0,FAIL,是
TC-UNIT-STAT-001-15,TC-UNIT-STAT-001,单元测试,P0,min / max / avg / var / std,max([]) 空数组,不崩溃，返回 padding,0.0,PASS,是
TC-UNIT-STAT-002-01,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([5,3,1,4,2], k=3) 正常截断","期望输出 [5,3,1]，长度=3",[],FAIL,是
TC-UNIT-STAT-002-02,TC-UNIT-STAT-002,单元测试,P0,topk,"topk([1.0f,2.0f,3.0f,4.0f,5.0f], k=2)","期望输出 [1.0f,2.0f]，长度=2","[0.0, 1.0]",FAIL,是
